category,code,product,strength_per_vial,vial_size,usd_cost_per_vial,aud_cost_per_vial,my_rrp_per_vial_aud,competitor_rrp_per_vial_aud,benefits
GH & Hormones,L1-10,97% GH,10iu,3ml,9.8,14.04,,89,Growth hormone axis; body composition and recovery research
GH & Hormones,L1-12,97% GH,12iu,3ml,13.4,19.19,,119,Higher-dose GH research; IGF-1 and metabolic signalling
GH & Hormones,L2-5,HCG,5000iu,3ml,12.2,17.47,,95,Gonadotropin signalling; fertility and hormonal axis research
GH & Hormones,L2-10,HCG,10000iu,3ml,22.3,31.94,,165,Higher-potency gonadotropin; endocrine pathway studies
GH & Hormones,L3-75,HMG,75iu,3ml,9.8,14.04,,85,Menopausal gonadotrophin; reproductive hormone research
Longevity,L4-500,NAD+,500mg,5ml,8.5,12.17,,80,Cellular energy cofactor; mitochondrial and longevity pathways
Longevity,L4-1000,NAD+,1000mg,10ml,15.2,21.77,,150,High-dose NAD+; sirtuin and metabolic restoration research
GLP-1 / Metabolic,Q1-5,Semaglutide,5mg,3ml,5.1,7.3,,55,GLP-1 agonist; appetite and glucose regulation research
GLP-1 / Metabolic,Q1-10,Semaglutide,10mg,3ml,6.8,9.74,,110,Benchmark GLP-1; metabolic and weight pathway studies
GLP-1 / Metabolic,Q1-15,Semaglutide,15mg,3ml,10.2,14.61,,145,Mid-dose GLP-1; dose-response metabolic research
GLP-1 / Metabolic,Q1-20,Semaglutide,20mg,3ml,13.5,19.33,,175,Higher-dose GLP-1; extended protocol research
GLP-1 / Metabolic,Q1-30,Semaglutide,30mg,10ml,18.3,26.21,,220,Large-vial GLP-1; long-run metabolic studies
GLP-1 / Metabolic,Q1-50,Semaglutide,50mg,10ml,28.8,41.25,,320,High-capacity GLP-1; bulk metabolic research
GLP-1 / Metabolic,Q1-60,Semaglutide,60mg,10ml,32.5,46.55,,360,Maximum-capacity GLP-1 research vial
GLP-1 / Metabolic,Q2-5,Tirzepatide,5mg,3ml,5.1,7.3,,65,Dual GLP-1/GIP agonist; incretin metabolic research
GLP-1 / Metabolic,Q2-10,Tirzepatide,10mg,3ml,6.8,9.74,,140,Twincretin; advanced metabolic and weight research
GLP-1 / Metabolic,Q2-15,Tirzepatide,15mg,3ml,10.2,14.61,,175,Mid-dose tirzepatide; dose-escalation studies
GLP-1 / Metabolic,Q2-20,Tirzepatide,20mg,3ml,13.5,19.33,,210,Higher-dose dual agonist research
GLP-1 / Metabolic,Q2-30,Tirzepatide,30mg,10ml,18.3,26.21,,260,Large-vial tirzepatide; extended metabolic protocols
GLP-1 / Metabolic,Q2-60,Tirzepatide,60mg,10ml,32.5,46.55,,420,High-capacity tirzepatide research
GLP-1 / Metabolic,Q2-100,Tirzepatide,100mg,10ml,47.4,67.89,,580,Ultra-high dose tirzepatide; long-duration research
GLP-1 / Metabolic,Q2-120,Tirzepatide,120mg,10ml,56.9,81.49,,650,Maximum tirzepatide capacity research vial
GLP-1 / Metabolic,Q36-5,Retatrutide,5mg,3ml,8.5,12.17,,75,Triple agonist entry dose; metabolic research
GLP-1 / Metabolic,Q36-10,Retatrutide,10mg,3ml,13.5,19.33,,130,Triple GLP-1/GIP/glucagon; weight and metabolic research
GLP-1 / Metabolic,Q36-15,Retatrutide,15mg,3ml,20.3,29.07,,175,Mid-dose retatrutide; dose-response metabolic studies
GLP-1 / Metabolic,Q36-20,Retatrutide,20mg,3ml,27.1,38.81,,220,Higher-dose retatrutide; advanced metabolic research
GLP-1 / Metabolic,Q36-30,Retatrutide,30mg,10ml,32.0,45.83,,265,Large-vial retatrutide; extended protocol research
GLP-1 / Metabolic,Q36-60,Retatrutide,60mg,10ml,54.8,78.48,,420,High-capacity retatrutide research vial
Repair,Q3-2,BPC-157,2mg,3ml,4.1,5.87,,45,"Tissue repair peptide; gut, tendon and angiogenesis research"
Repair,Q3-5,BPC-157,5mg,3ml,5.1,7.3,,55,Mid-dose BPC-157; musculoskeletal recovery research
Repair,Q3-10,BPC-157,10mg,3ml,9.1,13.03,,80,Standard BPC-157; widely studied repair pathways
Repair,Q3-15,BPC-157,15mg,3ml,13.7,19.62,,110,Higher-dose BPC-157; injury recovery research
Repair,Q3-20,BPC-157,20mg,3ml,18.3,26.21,,145,Large-dose BPC-157; extended repair protocols
Repair,Q3-25,BPC-157,25mg,3ml,22.8,32.65,,175,Maximum single-vial BPC-157 research dose
Repair,Q4-2,TB-500 (TB4),2mg,3ml,6.1,8.74,,55,Thymosin beta-4; cell migration and wound healing
Repair,Q4-5,TB-500 (TB4),5mg,3ml,10.8,15.47,,75,Mid-dose TB-500; tissue remodelling research
Repair,Q4-10,TB-500 (TB4),10mg,3ml,22.0,31.51,,110,Standard TB-500; angiogenesis and repair studies
Repair,Q4-20,TB-500 (TB4),20mg,3ml,44.0,63.02,,195,High-dose TB-500; advanced recovery research
Repair,Y7-5,TB-500 Frag (17-23),5mg,3ml,5.4,7.73,,55,TB4 fragment; targeted actin and migration research
Repair,Y7-10,TB-500 Frag (17-23),10mg,3ml,10.8,15.47,,85,Standard TB fragment; wound healing research
Repair,Y7-20,TB-500 Frag (17-23),20mg,3ml,17.3,24.78,,130,High-dose TB fragment; tissue repair studies
Cosmetic / Repair,Q5-50,GHK-Cu,50mg,3ml,8.8,12.6,,70,Copper peptide; collagen synthesis and skin repair
Cosmetic / Repair,Q5-100,GHK-Cu,100mg,3ml,16.9,24.2,,120,High-dose GHK-Cu; cosmetic and wound research
GH Axis,Q7-1,IGF-1 LR3,1mg,3ml,37.2,53.28,,165,Growth factor; muscle and cellular growth research
GH Axis,Q17-2,CJC-1295 No DAC,2mg,3ml,5.1,7.3,,50,GHRH analogue; pulsatile GH release research
GH Axis,Q17-5,CJC-1295 No DAC,5mg,3ml,11.8,16.9,,85,Mid-dose GHRH; GH axis stimulation
GH Axis,Q17-10,CJC-1295 No DAC,10mg,3ml,20.3,29.07,,145,Standard CJC no DAC; GH secretagogue research
GH Axis,Q20-5,Ipamorelin,5mg,3ml,5.1,7.3,,55,Selective GHRP; clean GH pulse without cortisol spike
GH Axis,Q20-10,Ipamorelin,10mg,3ml,10.2,14.61,,90,Standard ipamorelin; GH axis and recovery research
GH Axis,Q22-2,Sermorelin,2mg,3ml,5.4,7.73,,50,GHRH fragment; natural GH rhythm research
GH Axis,Q22-5,Sermorelin,5mg,3ml,10.8,15.47,,80,Mid-dose sermorelin; anti-ageing GH research
GH Axis,Q22-10,Sermorelin,10mg,3ml,21.0,30.08,,140,Standard sermorelin; GH deficiency model research
GH Axis,Q24-5,Tesamorelin,5mg,3ml,13.5,19.33,,110,GHRH analogue; visceral fat and GH research
GH Axis,Q24-10,Tesamorelin,10mg,3ml,27.1,38.81,,185,Standard tesamorelin; lipodystrophy and GH studies
Neuropeptides,Q11-10,PT-141 (Bremelanotide),10mg,3ml,10.5,15.04,,95,Melanocortin agonist; sexual function pathway research
Neuropeptides,Q12-10,MT-2 (Melanotan II),10mg,3ml,8.1,11.6,,75,Melanocortin peptide; pigmentation and libido research
