Code,Product,Specification,USD Cost (LQ US tier),AUD Cost,My RRP (AUD),Competitor RRP Avg (AUD),Benefits / Research Use
L1-10,97% GH,10iu / 3ml,9.8,14.04,,89,Growth hormone axis; body composition and recovery research
L1-12,97% GH,12iu / 3ml,13.4,19.19,,119,Higher-dose GH research; IGF-1 and metabolic signalling
L2-5,HCG,5000iu / 3ml,12.2,17.47,,95,Gonadotropin signalling; fertility and hormonal axis research
L2-10,HCG,10000iu / 3ml,22.3,31.94,,165,Higher-potency gonadotropin; endocrine pathway studies
L3-75,HMG,75iu / 3ml,9.8,14.04,,85,Menopausal gonadotrophin; reproductive hormone research
L4-500,NAD+,500mg / 5ml powder,8.5,12.17,,80,Cellular energy cofactor; mitochondrial and longevity pathways
L4-1000,NAD+,1000mg / 10ml powder,15.2,21.77,,150,High-dose NAD+; sirtuin and metabolic restoration research
Q1-5,Semaglutide,5mg / 3ml,5.1,7.3,,55,GLP-1 agonist; appetite and glucose regulation research
Q1-10,Semaglutide,10mg / 3ml,6.8,9.74,,110,Benchmark GLP-1; metabolic and weight pathway studies
Q1-15,Semaglutide,15mg / 3ml,10.2,14.61,,145,Mid-dose GLP-1; dose-response metabolic research
Q1-20,Semaglutide,20mg / 3ml,13.5,19.33,,175,Higher-dose GLP-1; extended protocol research
Q1-30,Semaglutide,30mg / 10ml,18.3,26.21,,220,Large-vial GLP-1; long-run metabolic studies
Q1-50,Semaglutide,50mg / 10ml,28.8,41.25,,320,High-capacity GLP-1; bulk metabolic research
Q1-60,Semaglutide,60mg / 10ml,32.5,46.55,,360,Maximum-capacity GLP-1 research vial
Q2-5,Tirzepatide,5mg / 3ml,5.1,7.3,,65,Dual GLP-1/GIP agonist; incretin metabolic research
Q2-10,Tirzepatide,10mg / 3ml,6.8,9.74,,140,Twincretin; advanced metabolic and weight research
Q2-15,Tirzepatide,15mg / 3ml,10.2,14.61,,175,Mid-dose tirzepatide; dose-escalation studies
